case_id,case_label,particle_count,psd_family,replicate,spec_path,spec_sha256,placement_key
001,REF_BROAD_N512_A,512,REF_BROAD_METHOD1LIKE,A,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/001_REF_BROAD_N512_A.json,a34b3a8ff4506b26439188841fad1b2dd07bf4ee78a65045568aa5850c98a107,N512_A
002,REF_BROAD_N512_B,512,REF_BROAD_METHOD1LIKE,B,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/002_REF_BROAD_N512_B.json,a4029b8395912ace655935fee26364e174cdbf2aa9ddc4148ce3f78e96c95e1b,N512_B
003,REF_BROAD_N512_C,512,REF_BROAD_METHOD1LIKE,C,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/003_REF_BROAD_N512_C.json,e1e318ce1e56765596b1b26bf14f4db30f9e02b13c0e1b425952d16658aec776,N512_C
004,NARROW_N512_A,512,NARROW,A,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/004_NARROW_N512_A.json,d23653f6b3fe42f2353f9c251835d1be673f9c9d425e130f7d83662e5db9f6d9,N512_A
005,NARROW_N512_B,512,NARROW,B,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/005_NARROW_N512_B.json,828dbc4e3ea287578e0c2e21e1081553711e82ce5e76a6581b69aa8e4a6ce118,N512_B
006,NARROW_N512_C,512,NARROW,C,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/006_NARROW_N512_C.json,055f22050a74953f68616615dcdcce3d5ced08269cb58082770ace58a3b3f747,N512_C
007,LONGTAIL_N512_A,512,SMALL_RICH_LONGTAIL,A,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/007_LONGTAIL_N512_A.json,fe0d1b69f2d234ecae56643c9d48e78fd4f770e0c9ccdf17147889daadeab0e5,N512_A
008,LONGTAIL_N512_B,512,SMALL_RICH_LONGTAIL,B,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/008_LONGTAIL_N512_B.json,62ff6da9122b8b021164c677bb0f62a488e00957636e42f3c811fa995209d9cb,N512_B
009,LONGTAIL_N512_C,512,SMALL_RICH_LONGTAIL,C,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/009_LONGTAIL_N512_C.json,0ccc8a3c52760a4ad8ac85f8cd82a9f0762b68c8dde52a842886bd46704a4d79,N512_C
010,BIMODAL_N512_A,512,BIMODAL,A,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/010_BIMODAL_N512_A.json,ce91823602501f318f823c1442bbbe93fdb71e9c7a439cd9a96ef4c5680a1f1c,N512_A
011,BIMODAL_N512_B,512,BIMODAL,B,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/011_BIMODAL_N512_B.json,e2c84a9098cf7d472f7615c334f4e7213b205bb7366921fcce6fd23436d2aba7,N512_B
012,BIMODAL_N512_C,512,BIMODAL,C,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/012_BIMODAL_N512_C.json,60e69efb14ea82b13869aa67a64742ad1868db8502914ebdfa729a77723e5c47,N512_C
013,NARROW_N256_A,256,NARROW,A,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/013_NARROW_N256_A.json,864c2d496f701fbd9ace632288ed368f83f297b7876252315a0a7b6cd0667ac0,N256_A
014,NARROW_N256_B,256,NARROW,B,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/014_NARROW_N256_B.json,73f2a53623952ca4af807287bf10fd03cd79f4c015cb5b104185660cb70ca669,N256_B
015,NARROW_N256_C,256,NARROW,C,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/015_NARROW_N256_C.json,74d22a5b168acadefcbc06d7313bf67023ecbbac96e400134c25c87e22d2cc1f,N256_C
016,NARROW_N640_A,640,NARROW,A,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/016_NARROW_N640_A.json,9063cd405695a54f276b1d84ac53ba42d5d81304887228e5b7df32f63f6fa899,N640_A
017,NARROW_N640_B,640,NARROW,B,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/017_NARROW_N640_B.json,b9809acf65d78613467bd98223f922dfbd93c5b0e88ae92c34893de2f79e3c29,N640_B
018,NARROW_N640_C,640,NARROW,C,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/018_NARROW_N640_C.json,a72f66c384accb3d024c80189525c3dbf06bf18123840d88148634a9dc9f6342,N640_C
019,NARROW_N704_A,704,NARROW,A,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/019_NARROW_N704_A.json,74cdf54ff934e926a5f4c10b30bccc9b67a88d3acd9c9516456e7b401875199d,N704_A
020,NARROW_N704_B,704,NARROW,B,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/020_NARROW_N704_B.json,8151ca2e02d029ceb9828a59f158ec3032e0e6599765e392e7abfc021cfcb105,N704_B
021,NARROW_N704_C,704,NARROW,C,reports/pf_400cube_psd_campaign_integer_gate_resolution_v2/case_specs/021_NARROW_N704_C.json,dcdbb5fbbf2cad7eb49c5a36e86cf04471b46eb9f51dd2f3001ea6882b2a653f,N704_C
